STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2019-02,0,7,0,",7",10,",7",10,",7",,,,,5,",7",25,",7",15,",7",0,",7",0,",7",-10,",7,01,",,,,,1.34,",,7,13,",56,",7,05,",5433,7,1166,",7",5.28,",,,7",,,23.4,",7",31.7,",,,7",15,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2019-03,0,7,0,"1,7",7,",7",5,",7",,,,,1,",7",29,",7",10,"1,7",0,"1,7",0,"1,7",-1,",7,07,",,,,,0.75,",,7,22,",56,"1,7,29,",6540,7,1107,"1,7",1.87,",,,7",,,28,"1,7",36.8,"1,,,7",19.3,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2019-04,0,7,0,",7",10,",7",9,",7",,,,,0,",7",11,",7",0,",7",2,",7",0,",7",21,",7,02,",,,,,1.47,",,7,20,",73,",7,24,",7135,7,596,",7",6.54,",,,7",,,45.1,",7",55.6,",,,7",34.6,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2019-05,0,7,0,",7",16,",7",14,",7",,,,,0,",7",1,",7",0,",7",3,",7",0,",7",27,",7,22,",,,,,2.13,",,7,10,",76,",7,20,+",7629,7,494,",7",9.47,",,,7",,,49.1,",7",57.1,",,,7",41,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2019-06,33,7,33,",7",11,",7",10,",7",,,,,0,",7",1,",7",0,",7",18,",7",0,",7",28,",7,04,",,,,,0.93,",,7,20,",84,",7,27,",7821,7,192,",7",5.91,",,,7",,,59.7,",7",70,",,,7",49.4,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2019-07,184,7,152,",7",11,",7",8,",7",,,,,0,",7",0,",7",0,",7",26,",7",0,",7",42,",7,08,",,,,,1.87,",,7,18,",88,",7,21,",44,7,44,",7",6.73,",,,7",,,68.5,",7",78.5,",,,7",58.5,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2019-08,267,7,83,",7",9,",7",6,",7",,,,,0,",7",0,",7",0,",7",30,",7",0,",7",47,",7,31,+",,,,,1.51,",,7,19,",85,",7,07,",81,7,37,",7",4.45,",,,7",,,66.5,",7",78,",,,7",54.9,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2019-09,284,7,17,",7",11,",7",10,",7",,,,,0,",7",0,",7",0,",7",22,",7",0,",7",41,",7,19,",,,,,1.24,",,7,03,",83,",7,23,",226,7,145,",7",4.13,",,,7",,,60.7,",7",71.4,",,,7",50,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2019-10,291,7,6,",7",,,,,,,,,0,",7",3,",7",0,",7",2,",7",0,",7",30,",7,06,+",,,,,,,83,",7,02,",703,7,477,",7",8.6,",a,,7",,,49.8,",7",59,",,,7",40.7,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2019-11,291,7,0,"1,7",6,"4,7",6,"4,7",,,,,0,"1,7",24,"1,7",2,",7",0,",7",0,",7",3,"1,7,13,",,,,,2.8,"4,,7,01,",68,",7,01,",1614,7,911,",7",5.63,",a,,7",,,33.5,"1,7",41.7,",,,7",25.4,"1,,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2019-12,291,7,0,",7",,,,,,,,,3,",7",29,",7",13,",7",0,",7",0,",7",-3,",7,20,",,,,,,,52,",7,24,",2818,7,1204,",7",5.3,"1,a,,7",,,26.2,",7",34.6,",,,7",17.8,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2020-01,0,7,0,",7",,,,,,,,,3,",7",31,",7",12,",7",0,",7",0,",7",-3,",7,21,",,,,,,,59,",7,13,+",4017,7,1199,",7",3.34,",a,,7",,,26.3,",7",34.7,",,,7",18,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2020-02,0,7,0,"1,7",,,,,,,,,6,"1,7",26,"1,7",6,"1,7",0,"1,7",0,"1,7",-12,"1,7,16,+",,,,,,,53,"1,7,25,",5124,7,1107,"1,7",4.5,"1,a,,7",,,25.4,"1,7",35.7,"1,,,7",15.2,"1,,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2020-03,0,7,0,"1,7",,,,,,,,,0,",7",23,",7",2,"1,7",0,"1,7",0,"1,7",8,",7,02,+",,,,,,,65,"1,7,10,",6023,7,899,"1,7",3.53,"1,a,,7",,,34.9,"1,7",43.9,"1,,,7",25.8,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2020-05,,,47,",7",,,,,,,,,0,",7",7,",7",0,",7",13,",7",2,",7",26,",7,13,",,,,,,,90,",7,27,+",,,384,",7",3.15,",a,,7",,,54.1,",7",66,",,,7",42.2,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2020-06,,,109,",7",5,",7",3,",7",,,,,0,",7",0,",7",0,",7",23,",7",1,",7",36,",7,01,",,,,,0.77,",,7,01,",90,",7,23,",,,86,",7",1.92,",,,7",,,65.7,",7",77.3,",,,7",54.2,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2020-07,,,231,",7",11,",7",9,",7",,,,,0,",7",0,",7",0,",7",31,",7",3,",7",55,",7,31,+",,,,,1.54,",,7,13,",92,",7,10,",0,7,0,",7",5.8,",,,7",,,72.4,",7",83.6,",,,7",61.3,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2020-08,,,143,",7",,,,,,,,,0,",7",0,",7",0,",7",28,",7",1,",7",47,",7,31,",,,,,,,90,",7,12,",22,7,22,",7",3.59,",a,,7",,,68.9,",7",79.8,",,,7",58,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2020-09,,,42,",7",5,",7",3,",7",,,,,0,",7",2,",7",0,",7",19,",7",0,",7",31,",7,20,+",,,,,1.12,",,7,30,",86,",7,10,",210,7,188,",7",2.14,",,,7",,,60.2,",7",71.2,",,,7",49.1,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2020-10,,,1,"1,7",,,,,,,,,0,"1,7",2,"1,7",0,"1,7",3,"1,7",0,"1,7",30,"1,7,26,",,,,,,,78,"1,7,16,+",670,7,460,"1,7",4.41,"1,a,,7",,,49.7,"1,7",58.7,"1,,,7",40.7,"1,,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2020-11,,,0,"3,7",,,,,,,,,0,"3,7",19,"3,7",2,"3,7",1,"3,7",0,"3,7",14,"3,7,19,",,,,,,,75,"3,7,11,",1366,7,695,"3,7",4.17,"1,a,,7",,,39.2,"3,7",48.6,"3,,,7",29.8,"3,,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2020-12,,,0,",7",,,,,,,,,0,",7",29,",7",12,",7",0,",7",0,",7",8,",7,18,",,,,,,,56,",7,26,",2457,7,1091,",7",3.89,",a,,7",,,29.8,",7",36.2,",,,7",23.4,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2021-01,0,7,0,",7",,,,,,,,,5,",7",31,",7",21,",7",0,",7",0,",7",-5,",7,25,",,,,,,,39,",7,02,",3771,7,1314,",7",2.4,"2,a,,7",,,22.6,",7",29,",,,7",16.2,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2021-02,0,7,0,",7",10,",7",7,",7",,,5,",7",3,",7",28,",7",20,",7",0,",7",0,",7",-6,",7,01,",,,10,",,7,23,",0.85,",,7,23,",47,",7,25,",4998,7,1227,",7",2.23,",,,7",22,",,,7",21.2,",7",29.5,",,,7",12.9,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2021-03,0,7,0,",7",5,"4,7",3,"4,7",,,0,"2,7",2,",7",27,",7",8,",7",1,",7",0,",7",0,",7,09,+",,,0,"2,,7,31,+",0.45,"4,,7,01,",72,",7,26,",5987,7,989,",7",2.07,"1,a,,7",0,"2,,,7",33.1,",7",45.4,",,,7",20.8,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2021-04,0,7,0,",7",12,",7",11,",7",,,,,0,",7",13,",7",0,",7",5,",7",0,",7",16,",7,04,",,,,,0.83,",,7,30,",76,",7,11,",6597,7,610,",7",3.08,",,,7",,,44.7,",7",55.7,",,,7",33.6,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2021-05,32,7,32,",7",9,",7",7,",7",,,,,0,",7",3,",7",0,",7",13,",7",0,",7",31,",7,13,",,,,,0.71,",,7,10,",88,",7,22,",6964,7,366,",7",3.29,",,,7",,,54.2,",7",66,",,,7",42.5,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2021-06,149,7,117,",7",,,,,0,",7",0,",7",0,",7",0,",7",0,",7",24,",7",2,",7",41,",7,17,",0,",,7,30,+",0,",,7,30,+",,,90,",7,29,+",7029,7,66,",7",7.86,",a,,7",0,",,,7",66.7,",7",78,",,,7",55.4,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2021-07,255,7,106,",7",16,",7",13,",7",,,,,0,",7",0,",7",0,",7",28,",7",0,",7",45,",7,31,+",,,,,2.22,",,7,19,",85,",7,16,",26,7,26,",7",11.14,",,,7",,,67.6,",7",76.6,",,,7",58.5,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2021-08,423,7,168,"2,7",,,,,0,",7",0,",7",0,"2,7",0,"2,7",0,"1,7",28,"1,7",0,"1,7",36,"2,7,05,",0,",,7,31,+",0,",,7,31,+",,,88,"1,7,27,",54,7,28,"1,7",6.26,"1,a,,7",0,",,,7",69.8,"2,7",79.8,"1,,,7",59.8,"2,,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2021-09,438,7,14,",7",,,,,0,",7",0,",7",0,",7",0,",7",0,",7",23,",7",0,",7",40,",7,29,",0,",,7,30,+",0,",,7,30,+",,,77,",7,23,+",159,7,105,",7",3.83,",a,,7",0,",,,7",62,",7",71.8,",,,7",52.2,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2021-10,438,7,0,",7",,,,,,,,,0,",7",5,",7",0,",7",7,",7",0,",7",30,",7,25,+",,,,,,,75,",7,13,+",498,7,339,",7",8.35,"2,a,,7",,,54.1,",7",62.3,",,,7",45.8,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2021-11,438,7,0,",7",,,,,,,,,0,",7",23,",7",4,",7",0,",7",0,",7",15,",7,24,",,,,,,,59,",7,19,",1341,7,843,",7",3.98,",a,,7",,,36.9,",7",45.2,",,,7",28.6,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2021-12,438,7,0,",7",,,,,,,,,0,",7",29,",7",6,",7",0,",7",0,",7",9,",7,20,",,,,,,,61,",7,17,",2372,7,1031,",7",5.15,",a,,7",,,31.7,",7",39.4,",,,7",24.1,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2022-01,0,7,0,",7",9,",7",6,",7",,,3,"3,7",13,",7",31,",7",23,",7",0,",7",0,",7",-14,",7,31,+",,,8,"3,,7,10,",0.65,",,7,10,",44,",7,03,",3926,7,1553,",7",2.19,",,,7",11.5,"3,,,7",14.9,",7",26.4,",,,7",3.4,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2022-02,0,7,0,"1,7",,,,,,,,,6,",7",26,",7",12,"1,7",0,"1,7",0,"1,7",-8,",7,06,",,,,,,,53,"1,7,22,",5030,7,1105,"1,7",5.3,",a,,7",,,23.7,"1,7",34.7,"1,,,7",12.8,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2022-03,0,7,0,",7",11,",7",10,",7",,,,,2,",7",27,",7",7,",7",0,",7",0,",7",-8,",7,05,+",,,,,1.02,",,7,21,",68,",7,07,",6082,7,1052,",7",4.2,",,,7",,,31.1,",7",41.6,",,,7",20.5,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2022-04,0,7,0,"4,7",,,,,,,1,"5,7",0,",7",14,",7",0,"4,7",3,"4,7",0,"4,7",25,",7,19,+",,,8,"5,,7,19,",,,72,"4,7,26,+",6628,7,546,"4,7",6.22,"1,a,,7",8,"5,,,7",44,"4,7",53.8,"4,,,7",34.2,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2022-05,38,7,38,",7",11,",7",8,",7",0,",7",0,",7",0,",7",5,",7",0,",7",18,",7",0,",7",26,",7,01,",0,",,7,31,+",0,",,7,31,+",0.82,",,7,17,",89,",7,23,+",6861,7,233,",7",2.98,",,,7",0,",,,7",58.7,",7",71.4,",,,7",46.1,",,,7"
